cycle: 0, a: 0.015625, b: 7, c: 0, result: None
cycle: 104, a: 0.01739126, b: 7, c: 11.98879200, result: 11.50315546
cycle: 105, a: 0.01741021, b: 7, c: 12.11053085, result: 11.62436735
cycle: 106, a: 0.01742917, b: 7, c: 12.23240238, result: 11.74571067
cycle: 107, a: 0.01744818, b: 7, c: 12.35440659, result: 11.86718541
cycle: 108, a: 0.01746720, b: 7, c: 12.47654390, result: 11.98879200
cycle: 109, a: 0.01748633, b: 7, c: 12.59881430, result: 12.11053085
cycle: 110, a: 0.01750546, b: 7, c: 12.72121864, result: 12.23240238
cycle: 111, a: 0.01752460, b: 7, c: 12.84375691, result: 12.35440659
cycle: 112, a: 0.01754385, b: 7, c: 12.96642911, result: 12.47654390
cycle: 113, a: 0.01756310, b: 7, c: 13.08923608, result: 12.59881430
cycle: 114, a: 0.01758241, b: 7, c: 13.21217781, result: 12.72121864
cycle: 115, a: 0.01760172, b: 7, c: 13.33525472, result: 12.84375691
cycle: 116, a: 0.01762109, b: 7, c: 13.45846682, result: 12.96642911
cycle: 117, a: 0.01764053, b: 7, c: 13.58181452, result: 13.08923608
cycle: 118, a: 0.01766002, b: 7, c: 13.70529824, result: 13.21217781
cycle: 119, a: 0.01767951, b: 7, c: 13.82891839, result: 13.33525472
cycle: 120, a: 0.01769906, b: 7, c: 13.95267498, result: 13.45846682
cycle: 121, a: 0.01771867, b: 7, c: 14.07656842, result: 13.58181452
cycle: 122, a: 0.01773834, b: 7, c: 14.20059913, result: 13.70529824
cycle: 123, a: 0.01775801, b: 7, c: 14.32476752, result: 13.82891839
cycle: 124, a: 0.01777774, b: 7, c: 14.44907361, result: 13.95267498
cycle: 125, a: 0.01779752, b: 7, c: 14.57351779, result: 14.07656842
cycle: 126, a: 0.01781731, b: 7, c: 14.69810050, result: 14.20059913
cycle: 127, a: 0.01783722, b: 7, c: 14.82282173, result: 14.32476752
cycle: 128, a: 0.01785713, b: 6, c: 14.94768232, result: 14.44907361
cycle: 129, a: 0.01787704, b: 6, c: 15.05482512, result: 14.57351779
cycle: 130, a: 0.01789706, b: 6, c: 15.16208738, result: 14.69810050
cycle: 131, a: 0.01791709, b: 6, c: 15.26946979, result: 14.82282173
cycle: 132, a: 0.01793718, b: 6, c: 15.37697237, result: 14.94768232
cycle: 133, a: 0.01795732, b: 6, c: 15.48459547, result: 15.05482512
cycle: 134, a: 0.01797747, b: 6, c: 15.59233945, result: 15.16208738
cycle: 135, a: 0.01799774, b: 6, c: 15.70020431, result: 15.26946979
cycle: 136, a: 0.01801800, b: 6, c: 15.80819076, result: 15.37697237
cycle: 137, a: 0.01803827, b: 6, c: 15.91629880, result: 15.48459547
cycle: 138, a: 0.01805865, b: 6, c: 16.02452844, result: 15.59233945
cycle: 139, a: 0.01807904, b: 6, c: 16.13288038, result: 15.70020431
cycle: 140, a: 0.01809954, b: 6, c: 16.24135464, result: 15.80819076
cycle: 141, a: 0.01811999, b: 6, c: 16.34995192, result: 15.91629880
cycle: 142, a: 0.01814055, b: 6, c: 16.45867186, result: 16.02452844
cycle: 143, a: 0.01816117, b: 6, c: 16.56751519, result: 16.13288038
cycle: 144, a: 0.01818180, b: 6, c: 16.67648226, result: 16.24135464
cycle: 145, a: 0.01820248, b: 6, c: 16.78557306, result: 16.34995192
cycle: 146, a: 0.01822322, b: 6, c: 16.89478796, result: 16.45867186
cycle: 147, a: 0.01824396, b: 6, c: 17.00412732, result: 16.56751519
cycle: 148, a: 0.01826483, b: 6, c: 17.11359113, result: 16.67648226
cycle: 149, a: 0.01828569, b: 6, c: 17.22318011, result: 16.78557306
cycle: 150, a: 0.01830661, b: 6, c: 17.33289426, result: 16.89478796
cycle: 151, a: 0.01832759, b: 6, c: 17.44273394, result: 17.00412732
cycle: 152, a: 0.01834857, b: 6, c: 17.55269950, result: 17.11359113
cycle: 153, a: 0.01836967, b: 6, c: 17.66279095, result: 17.22318011
cycle: 154, a: 0.01839077, b: 6, c: 17.77300900, result: 17.33289426
cycle: 155, a: 0.01841193, b: 6, c: 17.88335365, result: 17.44273394
cycle: 156, a: 0.01843315, b: 6, c: 17.99382525, result: 17.55269950
cycle: 157, a: 0.01845443, b: 6, c: 18.10442417, result: 17.66279095
cycle: 158, a: 0.01847571, b: 6, c: 18.21515077, result: 17.77300900
cycle: 159, a: 0.01849710, b: 6, c: 18.32600504, result: 17.88335365
cycle: 160, a: 0.01851850, b: 6, c: 18.43698769, result: 17.99382525
cycle: 161, a: 0.01853996, b: 6, c: 18.54809874, result: 18.10442417
cycle: 162, a: 0.01856148, b: 6, c: 18.65933853, result: 18.21515077
cycle: 163, a: 0.01858299, b: 6, c: 18.77070742, result: 18.32600504
cycle: 164, a: 0.01860463, b: 6, c: 18.88220542, result: 18.43698769
cycle: 165, a: 0.01862627, b: 6, c: 18.99383324, result: 18.54809874
cycle: 166, a: 0.01864796, b: 6, c: 19.10559087, result: 18.65933853
cycle: 167, a: 0.01866972, b: 6, c: 19.21747869, result: 18.77070742
cycle: 168, a: 0.01869153, b: 6, c: 19.32949703, result: 18.88220542
cycle: 169, a: 0.01871341, b: 6, c: 19.44164627, result: 18.99383324
cycle: 170, a: 0.01873534, b: 6, c: 19.55392676, result: 19.10559087
cycle: 171, a: 0.01875728, b: 6, c: 19.66633886, result: 19.21747869
cycle: 172, a: 0.01877933, b: 6, c: 19.77888256, result: 19.32949703
cycle: 173, a: 0.01880139, b: 6, c: 19.89155858, result: 19.44164627
cycle: 174, a: 0.01882350, b: 6, c: 20.00436693, result: 19.55392676
cycle: 175, a: 0.01884567, b: 6, c: 20.11730796, result: 19.66633886
cycle: 176, a: 0.01886790, b: 6, c: 20.23038202, result: 19.77888256
cycle: 177, a: 0.01889014, b: 6, c: 20.34358948, result: 19.89155858
cycle: 178, a: 0.01891249, b: 6, c: 20.45693033, result: 20.00436693
cycle: 179, a: 0.01893490, b: 6, c: 20.57040530, result: 20.11730796
cycle: 180, a: 0.01895731, b: 6, c: 20.68401473, result: 20.23038202
cycle: 181, a: 0.01897978, b: 6, c: 20.79775863, result: 20.34358948
cycle: 182, a: 0.01900231, b: 6, c: 20.91163736, result: 20.45693033
cycle: 183, a: 0.01902496, b: 6, c: 21.02565127, result: 20.57040530
cycle: 184, a: 0.01904761, b: 6, c: 21.13980108, result: 20.68401473
cycle: 185, a: 0.01907026, b: 6, c: 21.25408679, result: 20.79775863
cycle: 186, a: 0.01909303, b: 6, c: 21.36850839, result: 20.91163736
cycle: 187, a: 0.01911586, b: 6, c: 21.48306661, result: 21.02565127
cycle: 188, a: 0.01913875, b: 6, c: 21.59776180, result: 21.13980108
cycle: 189, a: 0.01916164, b: 6, c: 21.71259433, result: 21.25408679
cycle: 190, a: 0.01918464, b: 6, c: 21.82756417, result: 21.36850839
cycle: 191, a: 0.01920765, b: 6, c: 21.94267207, result: 21.48306661
cycle: 192, a: 0.01923072, b: 6, c: 22.05791801, result: 21.59776180
cycle: 193, a: 0.01925390, b: 6, c: 22.17330235, result: 21.71259433
cycle: 194, a: 0.01927709, b: 6, c: 22.28882580, result: 21.82756417
cycle: 195, a: 0.01930034, b: 6, c: 22.40448838, result: 21.94267207
cycle: 196, a: 0.01932364, b: 6, c: 22.52029043, result: 22.05791801
cycle: 197, a: 0.01934701, b: 6, c: 22.63623231, result: 22.17330235
cycle: 198, a: 0.01937043, b: 6, c: 22.75231438, result: 22.28882580
cycle: 199, a: 0.01939392, b: 6, c: 22.86853700, result: 22.40448838
cycle: 200, a: 0.01941746, b: 6, c: 22.98490053, result: 22.52029043
cycle: 201, a: 0.01944106, b: 6, c: 23.10140532, result: 22.63623231
cycle: 202, a: 0.01946467, b: 6, c: 23.21805173, result: 22.75231438
cycle: 203, a: 0.01948839, b: 6, c: 23.33483976, result: 22.86853700
cycle: 204, a: 0.01951217, b: 6, c: 23.45177012, result: 22.98490053
cycle: 205, a: 0.01953601, b: 6, c: 23.56884318, result: 23.10140532
cycle: 206, a: 0.01955986, b: 6, c: 23.68605929, result: 23.21805173
cycle: 207, a: 0.01958382, b: 6, c: 23.80341845, result: 23.33483976
cycle: 208, a: 0.01960784, b: 6, c: 23.92092138, result: 23.45177012
cycle: 209, a: 0.01963186, b: 6, c: 24.03856843, result: 23.56884318
cycle: 210, a: 0.01965600, b: 6, c: 24.15635961, result: 23.68605929
cycle: 211, a: 0.01968014, b: 6, c: 24.27429562, result: 23.80341845
cycle: 212, a: 0.01970440, b: 6, c: 24.39237648, result: 23.92092138
cycle: 213, a: 0.01972872, b: 6, c: 24.51060289, result: 24.03856843
cycle: 214, a: 0.01975303, b: 6, c: 24.62897521, result: 24.15635961
cycle: 215, a: 0.01977747, b: 6, c: 24.74749344, result: 24.27429562
cycle: 216, a: 0.01980197, b: 6, c: 24.86615830, result: 24.39237648
cycle: 217, a: 0.01982647, b: 6, c: 24.98497015, result: 24.51060289
cycle: 218, a: 0.01985108, b: 6, c: 25.10392898, result: 24.62897521
cycle: 219, a: 0.01987576, b: 6, c: 25.22303551, result: 24.74749344
cycle: 220, a: 0.01990044, b: 6, c: 25.34229010, result: 24.86615830
cycle: 221, a: 0.01992523, b: 6, c: 25.46169275, result: 24.98497015
cycle: 222, a: 0.01995009, b: 6, c: 25.58124417, result: 25.10392898
cycle: 223, a: 0.01997500, b: 6, c: 25.70094472, result: 25.22303551
cycle: 224, a: 0.01999998, b: 6, c: 25.82079476, result: 25.34229010
cycle: 225, a: 0.02002501, b: 6, c: 25.94079464, result: 25.46169275
cycle: 226, a: 0.02005010, b: 6, c: 26.06094473, result: 25.58124417
cycle: 227, a: 0.02007526, b: 6, c: 26.18124538, result: 25.70094472
cycle: 228, a: 0.02010047, b: 6, c: 26.30169695, result: 25.82079476
cycle: 229, a: 0.02012574, b: 6, c: 26.42229980, result: 25.94079464
cycle: 230, a: 0.02015107, b: 6, c: 26.54305428, result: 26.06094473
cycle: 231, a: 0.02017652, b: 6, c: 26.66396075, result: 26.18124538
cycle: 232, a: 0.02020198, b: 6, c: 26.78501993, result: 26.30169695
cycle: 233, a: 0.02022755, b: 6, c: 26.90623182, result: 26.42229980
cycle: 234, a: 0.02025312, b: 6, c: 27.02759712, result: 26.54305428
cycle: 235, a: 0.02027881, b: 6, c: 27.14911586, result: 26.66396075
cycle: 236, a: 0.02030456, b: 6, c: 27.27078872, result: 26.78501993
cycle: 237, a: 0.02033030, b: 6, c: 27.39261609, result: 26.90623182
cycle: 238, a: 0.02035617, b: 6, c: 27.51459795, result: 27.02759712
cycle: 239, a: 0.02038210, b: 6, c: 27.63673502, result: 27.14911586
cycle: 240, a: 0.02040815, b: 6, c: 27.75902765, result: 27.27078872
cycle: 241, a: 0.02043420, b: 6, c: 27.88147658, result: 27.39261609
cycle: 242, a: 0.02046030, b: 6, c: 28.00408178, result: 27.51459795
cycle: 243, a: 0.02048653, b: 6, c: 28.12684363, result: 27.63673502
cycle: 244, a: 0.02051281, b: 6, c: 28.24976283, result: 27.75902765
cycle: 245, a: 0.02053910, b: 6, c: 28.37283974, result: 27.88147658
cycle: 246, a: 0.02056550, b: 6, c: 28.49607437, result: 28.00408178
cycle: 247, a: 0.02059197, b: 6, c: 28.61946743, result: 28.12684363
cycle: 248, a: 0.02061849, b: 6, c: 28.74301928, result: 28.24976283
cycle: 249, a: 0.02064514, b: 6, c: 28.86673027, result: 28.37283974
cycle: 250, a: 0.02067178, b: 6, c: 28.99060112, result: 28.49607437
cycle: 251, a: 0.02069854, b: 6, c: 29.11463183, result: 28.61946743
cycle: 252, a: 0.02072536, b: 6, c: 29.23882311, result: 28.74301928
cycle: 253, a: 0.02075225, b: 6, c: 29.36317533, result: 28.86673027
cycle: 254, a: 0.02077919, b: 6, c: 29.48768883, result: 28.99060112
cycle: 255, a: 0.02080619, b: 6, c: 29.61236399, result: 29.11463183
cycle: 256, a: 0.02083331, b: 5, c: 29.73720115, result: 29.23882311
cycle: 257, a: 0.02086049, b: 5, c: 29.84136772, result: 29.36317533
cycle: 258, a: 0.02088767, b: 5, c: 29.94567018, result: 29.48768883
cycle: 259, a: 0.02091503, b: 5, c: 30.05010855, result: 29.61236399
cycle: 260, a: 0.02094238, b: 5, c: 30.15468370, result: 29.73720115
cycle: 261, a: 0.02096980, b: 5, c: 30.25939565, result: 29.84136772
cycle: 262, a: 0.02099734, b: 5, c: 30.36424469, result: 29.94567018
cycle: 263, a: 0.02102494, b: 5, c: 30.46923142, result: 30.05010855
cycle: 264, a: 0.02105259, b: 5, c: 30.57435613, result: 30.15468370
cycle: 265, a: 0.02108031, b: 5, c: 30.67961913, result: 30.25939565
cycle: 266, a: 0.02110815, b: 5, c: 30.78502070, result: 30.36424469
cycle: 267, a: 0.02113604, b: 5, c: 30.89056146, result: 30.46923142
cycle: 268, a: 0.02116400, b: 5, c: 30.99624168, result: 30.57435613
cycle: 269, a: 0.02119201, b: 5, c: 31.10206168, result: 30.67961913
cycle: 270, a: 0.02122014, b: 5, c: 31.20802175, result: 30.78502070
cycle: 271, a: 0.02124828, b: 5, c: 31.31412249, result: 30.89056146
cycle: 272, a: 0.02127659, b: 5, c: 31.42036390, result: 30.99624168
cycle: 273, a: 0.02130490, b: 5, c: 31.52674686, result: 31.10206168
cycle: 274, a: 0.02133327, b: 5, c: 31.63327139, result: 31.20802175
cycle: 275, a: 0.02136176, b: 5, c: 31.73993778, result: 31.31412249
cycle: 276, a: 0.02139031, b: 5, c: 31.84674662, result: 31.42036390
cycle: 277, a: 0.02141898, b: 5, c: 31.95369821, result: 31.52674686
cycle: 278, a: 0.02144771, b: 5, c: 32.06079316, result: 31.63327139
cycle: 279, a: 0.02147650, b: 5, c: 32.16803175, result: 31.73993778
cycle: 280, a: 0.02150535, b: 5, c: 32.27541428, result: 31.84674662
cycle: 281, a: 0.02153426, b: 5, c: 32.38294106, result: 31.95369821
cycle: 282, a: 0.02156329, b: 5, c: 32.49061238, result: 32.06079316
cycle: 283, a: 0.02159243, b: 5, c: 32.59842884, result: 32.16803175
cycle: 284, a: 0.02162158, b: 5, c: 32.70639103, result: 32.27541428
cycle: 285, a: 0.02165085, b: 5, c: 32.81449896, result: 32.38294106
cycle: 286, a: 0.02168017, b: 5, c: 32.92275321, result: 32.49061238
cycle: 287, a: 0.02170962, b: 5, c: 33.03115409, result: 32.59842884
cycle: 288, a: 0.02173912, b: 5, c: 33.13970220, result: 32.70639103
cycle: 289, a: 0.02176868, b: 5, c: 33.24839782, result: 32.81449896
cycle: 290, a: 0.02179831, b: 5, c: 33.35724127, result: 32.92275321
cycle: 291, a: 0.02182805, b: 5, c: 33.46623283, result: 33.03115409
cycle: 292, a: 0.02185791, b: 5, c: 33.57537311, result: 33.13970220
cycle: 293, a: 0.02188777, b: 5, c: 33.68466269, result: 33.24839782
cycle: 294, a: 0.02191776, b: 5, c: 33.79410159, result: 33.35724127
cycle: 295, a: 0.02194786, b: 5, c: 33.90369039, result: 33.46623283
cycle: 296, a: 0.02197802, b: 5, c: 34.01342970, result: 33.57537311
cycle: 297, a: 0.02200824, b: 5, c: 34.12331980, result: 33.68466269
cycle: 298, a: 0.02203851, b: 5, c: 34.23336100, result: 33.79410159
cycle: 299, a: 0.02206891, b: 5, c: 34.34355360, result: 33.90369039
cycle: 300, a: 0.02209943, b: 5, c: 34.45389819, result: 34.01342970
cycle: 301, a: 0.02213001, b: 5, c: 34.56439536, result: 34.12331980
cycle: 302, a: 0.02216064, b: 5, c: 34.67504543, result: 34.23336100
cycle: 303, a: 0.02219134, b: 5, c: 34.78584867, result: 34.34355360
cycle: 304, a: 0.02222222, b: 5, c: 34.89680540, result: 34.45389819
cycle: 305, a: 0.02225309, b: 5, c: 35.00791651, result: 34.56439536
cycle: 306, a: 0.02228409, b: 5, c: 35.11918199, result: 34.67504543
cycle: 307, a: 0.02231514, b: 5, c: 35.23060244, result: 34.78584867
cycle: 308, a: 0.02234631, b: 5, c: 35.34217816, result: 34.89680540
cycle: 309, a: 0.02237761, b: 5, c: 35.45390975, result: 35.00791651
cycle: 310, a: 0.02240896, b: 5, c: 35.56579780, result: 35.11918199
cycle: 311, a: 0.02244037, b: 5, c: 35.67784261, result: 35.23060244
cycle: 312, a: 0.02247190, b: 5, c: 35.79004448, result: 35.34217816
cycle: 313, a: 0.02250349, b: 5, c: 35.90240401, result: 35.45390975
cycle: 314, a: 0.02253520, b: 5, c: 36.01492148, result: 35.56579780
cycle: 315, a: 0.02256697, b: 5, c: 36.12759751, result: 35.67784261
cycle: 316, a: 0.02259886, b: 5, c: 36.24043238, result: 35.79004448
cycle: 317, a: 0.02263081, b: 5, c: 36.35342669, result: 35.90240401
cycle: 318, a: 0.02266287, b: 5, c: 36.46658074, result: 36.01492148
cycle: 319, a: 0.02269500, b: 5, c: 36.57989513, result: 36.12759751
cycle: 320, a: 0.02272725, b: 5, c: 36.69337016, result: 36.24043238
cycle: 321, a: 0.02275955, b: 5, c: 36.80700641, result: 36.35342669
cycle: 322, a: 0.02279198, b: 5, c: 36.92080420, result: 36.46658074
cycle: 323, a: 0.02282452, b: 5, c: 37.03476411, result: 36.57989513
cycle: 324, a: 0.02285712, b: 5, c: 37.14888674, result: 36.69337016
cycle: 325, a: 0.02288979, b: 5, c: 37.26317238, result: 36.80700641
cycle: 326, a: 0.02292263, b: 5, c: 37.37762135, result: 36.92080420
cycle: 327, a: 0.02295547, b: 5, c: 37.49223452, result: 37.03476411
cycle: 328, a: 0.02298849, b: 5, c: 37.60701191, result: 37.14888674
cycle: 329, a: 0.02302157, b: 5, c: 37.72195440, result: 37.26317238
cycle: 330, a: 0.02305471, b: 5, c: 37.83706229, result: 37.37762135
cycle: 331, a: 0.02308797, b: 5, c: 37.95233589, result: 37.49223452
cycle: 332, a: 0.02312135, b: 5, c: 38.06777578, result: 37.60701191
cycle: 333, a: 0.02315479, b: 5, c: 38.18338257, result: 37.72195440
cycle: 334, a: 0.02318835, b: 5, c: 38.29915654, result: 37.83706229
cycle: 335, a: 0.02322202, b: 5, c: 38.41509830, result: 37.95233589
cycle: 336, a: 0.02325576, b: 5, c: 38.53120845, result: 38.06777578
cycle: 337, a: 0.02328962, b: 5, c: 38.64748728, result: 38.18338257
cycle: 338, a: 0.02332359, b: 5, c: 38.76393538, result: 38.29915654
cycle: 339, a: 0.02335762, b: 5, c: 38.88055336, result: 38.41509830
cycle: 340, a: 0.02339178, b: 5, c: 38.99734151, result: 38.53120845
cycle: 341, a: 0.02342605, b: 5, c: 39.11430042, result: 38.64748728
cycle: 342, a: 0.02346038, b: 5, c: 39.23143070, result: 38.76393538
cycle: 343, a: 0.02349483, b: 5, c: 39.34873265, result: 38.88055336
cycle: 344, a: 0.02352941, b: 5, c: 39.46620684, result: 38.99734151
cycle: 345, a: 0.02356404, b: 5, c: 39.58385390, result: 39.11430042
cycle: 346, a: 0.02359879, b: 5, c: 39.70167410, result: 39.23143070
cycle: 347, a: 0.02363365, b: 5, c: 39.81966805, result: 39.34873265
cycle: 348, a: 0.02366858, b: 5, c: 39.93783634, result: 39.46620684
cycle: 349, a: 0.02370369, b: 5, c: 40.05617928, result: 39.58385390
cycle: 350, a: 0.02373886, b: 5, c: 40.17469775, result: 39.70167410
cycle: 351, a: 0.02377408, b: 5, c: 40.29339206, result: 39.81966805
cycle: 352, a: 0.02380949, b: 5, c: 40.41226249, result: 39.93783634
cycle: 353, a: 0.02384495, b: 5, c: 40.53130996, result: 40.05617928
cycle: 354, a: 0.02388054, b: 5, c: 40.65053474, result: 40.17469775
cycle: 355, a: 0.02391624, b: 5, c: 40.76993745, result: 40.29339206
cycle: 356, a: 0.02395206, b: 5, c: 40.88951867, result: 40.41226249
cycle: 357, a: 0.02398794, b: 5, c: 41.00927901, result: 40.53130996
cycle: 358, a: 0.02402400, b: 5, c: 41.12921875, result: 40.65053474
